Dataset,Method,Test Accuracy,Train Accuracy,Runtime
part,opls-da,0.5,0.7142857142857144,0
part,opls-da,0.4047619047619048,0.6904761904761904,0
part,opls-da,0.4761904761904762,0.6904761904761906,0
part,opls-da,0.4047619047619047,0.6904761904761904,0
part,opls-da,0.5,0.7023809523809524,0
part,opls-da,0.5,0.6666666666666666,0
part,opls-da,0.380952380952381,0.6785714285714285,0
part,opls-da,0.4523809523809523,0.6904761904761906,0
part,opls-da,0.380952380952381,0.7142857142857143,0
part,opls-da,0.4285714285714285,0.7023809523809524,0
part,opls-da,0.3571428571428571,0.6547619047619048,0
part,opls-da,0.4285714285714285,0.6666666666666666,0
part,opls-da,0.4047619047619048,0.6785714285714285,0
part,opls-da,0.4761904761904762,0.6904761904761906,0
part,opls-da,0.4761904761904761,0.6666666666666666,0
part,opls-da,0.4523809523809524,0.6904761904761906,0
part,opls-da,0.380952380952381,0.6547619047619048,0
part,opls-da,0.4047619047619048,0.7261904761904763,0
part,opls-da,0.4761904761904763,0.6904761904761904,0
part,opls-da,0.380952380952381,0.6904761904761904,0
part,opls-da,0.3571428571428571,0.6904761904761904,0
part,opls-da,0.3571428571428571,0.7142857142857144,0
part,opls-da,0.5,0.6785714285714285,0
part,rcnn,0.1428571428571428,0.1547619047619047,0
part,rcnn,0.1428571428571428,0.0833333333333333,0
part,rcnn,0.1428571428571428,0.1428571428571428,0
part,rcnn,0.1428571428571428,0.1666666666666666,0
part,rcnn,0.1428571428571428,0.1785714285714285,0
part,rcnn,0.1904761904761905,0.2142857142857143,0
part,rcnn,0.1428571428571428,0.119047619047619,0
part,rcnn,0.1666666666666666,0.1428571428571428,0
part,rcnn,0.1904761904761905,0.1309523809523809,0
part,rcnn,0.1666666666666666,0.1785714285714285,0
part,rcnn,0.1428571428571428,0.0952380952380952,0
part,rcnn,0.1666666666666666,0.119047619047619,0
part,rcnn,0.1428571428571428,0.1428571428571428,0
part,rcnn,0.1666666666666666,0.2023809523809523,0
part,rcnn,0.1428571428571428,0.1428571428571428,0
part,rcnn,0.1428571428571428,0.1309523809523809,0
part,rcnn,0.1666666666666666,0.1547619047619047,0
part,rcnn,0.1666666666666666,0.2023809523809523,0
part,rcnn,0.1666666666666666,0.1904761904761905,0
part,rcnn,0.1666666666666666,0.119047619047619,0
part,rcnn,0.1666666666666666,0.2142857142857143,0
part,rcnn,0.1428571428571428,0.1785714285714285,0
part,rcnn,0.1904761904761905,0.2023809523809524,0
part,rcnn,0.1666666666666666,0.1547619047619047,0
part,rcnn,0.1904761904761905,0.1428571428571428,0
part,rcnn,0.1428571428571428,0.1428571428571428,0
part,rcnn,0.1666666666666666,0.1309523809523809,0
part,rcnn,0.1666666666666666,0.1428571428571428,0
part,rcnn,0.1428571428571428,0.1428571428571428,0
part,rcnn,0.1428571428571428,0.1309523809523809,0
