Name,State,Created,Runtime,dataset,model,train_balanced_accuracy,val_balanced_accuracy,summary,config
whole-sun-1815,finished,2026-02-12T03:36:02.000Z,39,species,lda,0.9770833333333334,0.9645833333333332,,
desert-wildflower-1836,finished,2026-02-12T03:49:36.000Z,37,species,lda,0.9625,0.9645833333333332,,
restful-yogurt-1817,finished,2026-02-12T03:37:21.000Z,36,species,lda,0.9718750000000002,0.9645833333333332,,
bumbling-voice-1837,finished,2026-02-12T03:50:14.000Z,37,species,lda,0.9635416666666666,0.9645833333333332,,
lunar-leaf-1818,finished,2026-02-12T03:37:58.000Z,38,species,lda,0.9729166666666668,0.9645833333333332,,
woven-surf-1832,finished,2026-02-12T03:47:00.000Z,39,species,lda,0.9729166666666668,0.9583333333333334,,
bright-night-1831,finished,2026-02-12T03:46:21.000Z,38,species,lda,0.9770833333333334,0.9583333333333334,,
valiant-sound-1821,finished,2026-02-12T03:39:52.000Z,37,species,lda,0.9677083333333334,0.9583333333333334,,
swept-violet-1822,finished,2026-02-12T03:40:30.000Z,38,species,lda,0.978125,0.9583333333333334,,
young-vortex-1828,finished,2026-02-12T03:44:23.000Z,39,species,lda,0.9729166666666668,0.9562500000000002,,
polar-violet-1819,finished,2026-02-12T03:38:37.000Z,37,species,lda,0.96875,0.95625,,
