INFO:__main__:Dataset: species
INFO:train:Epoch [156/10000], Train Loss: 100300.8711 	 Train Accuracy: 0.4993 	 Val Loss: 11945.0781 	 Val Accuracy: 0.2727
INFO:train:Epoch [157/10000], Train Loss: 101519.8125 	 Train Accuracy: 0.4915 	 Val Loss: 11966.9990 	 Val Accuracy: 0.2500
INFO:train:Epoch [158/10000], Train Loss: 100719.4688 	 Train Accuracy: 0.4311 	 Val Loss: 11849.7861 	 Val Accuracy: 0.2273
INFO:train:Epoch [159/10000], Train Loss: 101798.0254 	 Train Accuracy: 0.4538 	 Val Loss: 11836.3271 	 Val Accuracy: 0.2273
INFO:train:Epoch [160/10000], Train Loss: 99967.0820 	 Train Accuracy: 0.4467 	 Val Loss: 11764.9131 	 Val Accuracy: 0.2273
INFO:train:Epoch [161/10000], Train Loss: 100060.5859 	 Train Accuracy: 0.4545 	 Val Loss: 11821.0977 	 Val Accuracy: 0.2045
INFO:train:Epoch [162/10000], Train Loss: 99581.5078 	 Train Accuracy: 0.4560 	 Val Loss: 11800.2568 	 Val Accuracy: 0.2273
INFO:train:Epoch [163/10000], Train Loss: 99899.8281 	 Train Accuracy: 0.5071 	 Val Loss: 11806.7129 	 Val Accuracy: 0.2500
INFO:train:Epoch [164/10000], Train Loss: 97537.9395 	 Train Accuracy: 0.4318 	 Val Loss: 11727.9961 	 Val Accuracy: 0.2500
INFO:train:Epoch [165/10000], Train Loss: 98026.3887 	 Train Accuracy: 0.5213 	 Val Loss: 11874.6533 	 Val Accuracy: 0.2045
INFO:train:Epoch [166/10000], Train Loss: 97667.8203 	 Train Accuracy: 0.4474 	 Val Loss: 12071.5488 	 Val Accuracy: 0.2045
INFO:train:Epoch [167/10000], Train Loss: 98765.6895 	 Train Accuracy: 0.5000 	 Val Loss: 11929.8301 	 Val Accuracy: 0.2273
INFO:train:Epoch [168/10000], Train Loss: 98566.1699 	 Train Accuracy: 0.4702 	 Val Loss: 12220.7061 	 Val Accuracy: 0.2273
INFO:train:Epoch [169/10000], Train Loss: 96966.2598 	 Train Accuracy: 0.4616 	 Val Loss: 12155.6787 	 Val Accuracy: 0.2500
INFO:train:Epoch [170/10000], Train Loss: 96932.7305 	 Train Accuracy: 0.3942 	 Val Loss: 12339.3252 	 Val Accuracy: 0.2045
INFO:train:Epoch [171/10000], Train Loss: 95593.9766 	 Train Accuracy: 0.4688 	 Val Loss: 12623.9258 	 Val Accuracy: 0.2273
INFO:train:Epoch [172/10000], Train Loss: 96624.9043 	 Train Accuracy: 0.4155 	 Val Loss: 12545.7998 	 Val Accuracy: 0.2045
INFO:train:Epoch [173/10000], Train Loss: 97122.7695 	 Train Accuracy: 0.4460 	 Val Loss: 13082.8623 	 Val Accuracy: 0.2727
INFO:train:Epoch [174/10000], Train Loss: 97081.4473 	 Train Accuracy: 0.4467 	 Val Loss: 13100.5449 	 Val Accuracy: 0.2273
INFO:train:Epoch [175/10000], Train Loss: 95844.5918 	 Train Accuracy: 0.4915 	 Val Loss: 12935.2227 	 Val Accuracy: 0.2273
INFO:train:Epoch [176/10000], Train Loss: 94701.2871 	 Train Accuracy: 0.4986 	 Val Loss: 13790.1367 	 Val Accuracy: 0.2273
INFO:train:Epoch [177/10000], Train Loss: 95473.8809 	 Train Accuracy: 0.4382 	 Val Loss: 13999.3721 	 Val Accuracy: 0.2273
INFO:train:Epoch [178/10000], Train Loss: 95668.0430 	 Train Accuracy: 0.4538 	 Val Loss: 14558.8682 	 Val Accuracy: 0.2273
INFO:train:Epoch [179/10000], Train Loss: 94764.7734 	 Train Accuracy: 0.4162 	 Val Loss: 14744.1572 	 Val Accuracy: 0.2273
INFO:train:Epoch [180/10000], Train Loss: 92973.6484 	 Train Accuracy: 0.4531 	 Val Loss: 14878.4287 	 Val Accuracy: 0.2273
INFO:train:Epoch [181/10000], Train Loss: 93387.7031 	 Train Accuracy: 0.4311 	 Val Loss: 15165.5957 	 Val Accuracy: 0.2045
INFO:train:Epoch [182/10000], Train Loss: 94763.6934 	 Train Accuracy: 0.4084 	 Val Loss: 15450.6465 	 Val Accuracy: 0.2273
INFO:train:Epoch [183/10000], Train Loss: 94993.1172 	 Train Accuracy: 0.4233 	 Val Loss: 15809.6338 	 Val Accuracy: 0.2273
